id,project_number,series_number,run_number,test_number,model_number,ship_name,loading_condition_id,ascii_name,ship_speed,comment,file_path_ascii,file_path_ascii_temp,file_path_log,file_path_hdf5,date,test_type,facility,angle1,angle2,scale_factor,name,lcg,kg,gm,CW,TF,TA,BWL,KXX,KZZ,BTT1,CP,Volume,A0,RH,lpp,beam,ABULB,BKX,TWIN,DCLR,VDES,RHBL,ASKEG,PD,ARH,CFP,AIX,PDTDES,RTYPE,SFP,BKL,BKB,PROT,D,LSKEG,RR,XSKEG,NDES,AR,BR,BRA,IRUD,PTYPE,XRUD,AI,HSKEG,RSKEG,LOA,ship_type_id,xm,ym,zm
22616,40199079,1,5,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run005.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22631,40199079,1,1,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run001.hdf5,2020-09-29,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22632,40199079,1,2,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run002.hdf5,2020-10-05,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22633,40199079,1,3,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run003.hdf5,2020-10-06,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22634,40199079,1,4,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run004.hdf5,2020-10-06,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22635,40199079,1,5,10,M5139-02-A,M5139-02-A,167,,0.801474803,10.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\010\MDL-Proj40199079-Ser001-Test010-Run005.hdf5,2020-10-06,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22636,40199079,1,1,12,M5139-02-A,M5139-02-A,167,,0.641179843,8.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\012\MDL-Proj40199079-Ser001-Test012-Run001.hdf5,2020-10-02,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22637,40199079,1,2,12,M5139-02-A,M5139-02-A,167,,0.641179843,8.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\012\MDL-Proj40199079-Ser001-Test012-Run002.hdf5,2020-10-02,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22638,40199079,1,3,12,M5139-02-A,M5139-02-A,167,,0.641179843,8.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\012\MDL-Proj40199079-Ser001-Test012-Run003.hdf5,2020-10-02,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22639,40199079,1,4,12,M5139-02-A,M5139-02-A,167,,0.641179843,8.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\012\MDL-Proj40199079-Ser001-Test012-Run004.hdf5,2020-10-02,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
