time,lon,lat,speed,heading,xcourse,ycourse,zcourse,ruddercommand,rudder,delta_t,dist,delta,psi,thrust,-rudder,x0,y0
0.0,119.161706,26.067217,0.39,225.0,0.84,0.09,225.98,60.0,-1.0,0.1,0.1,0.017453292519943295,3.9269908169872414,0.0,1.0,0.0,0.0
0.5,119.161706,26.067217,0.3728571428571428,225.57142857142856,0.877142857142857,0.0685714285714285,226.81285714285715,60.0,-1.0,0.431999921798706,0.0,0.017453292519943295,3.9369641269986375,0.0,1.0,0.0,0.0
1.0,119.161706,26.067216,0.42,227.0,0.84,0.21,227.68,60.0,1.0,0.437999963760376,0.1107890237632582,-0.017453292519943295,3.961897402027128,0.0,-1.0,-0.11089910147711635,-0.0032697644201107323
1.5,119.1617055,26.067216,0.42,228.0,0.99,0.04857142857142855,228.8514285714286,60.0,10.0,0.437000036239624,0.0500303353176133,-0.17453292519943298,3.9793506945470716,0.0,-10.0,-0.10942253516986966,-0.05334980692714453
2.5,119.161705,26.06721599999999,0.42,229.0,1.0000000000000002,-0.0033333333333333,230.82333333333332,60.0,19.0,0.7083332538604736,1.0590125770340231e-09,-0.33161255787892263,3.9968039870670147,0.0,-19.0,-0.10794596979394555,-0.1034298543818295
3.0,119.161705,26.067214,0.41,232.0,1.02,-0.02,232.63,60.0,21.0,0.7136666774749756,0.2215780457446967,-0.3665191429188092,4.049163864626845,0.0,-21.0,-0.32974416948854923,-0.10996938176685944
4.0,119.161705,26.067213999999996,0.4100000000000001,232.0,0.953529411764706,-0.1247058823529411,235.3629411764706,60.0,21.0,0.9793531894683838,7.069288649822944e-10,-0.3665191429188092,4.049163864626845,0.0,-21.0,-0.32974416948854923,-0.10996938176685944
5.0,119.161701,26.067209,0.49,237.0,0.95,-0.37,238.3,60.0,22.0,0.9846467971801758,0.6834101319871594,-0.3839724354387525,4.136430327226561,0.0,-22.0,-0.8724271338433027,-0.5269585764617659
5.5,119.161701,26.067208999999995,0.4972727272727272,238.45454545454547,1.0045454545454546,0.0672727272727272,240.6881818181818,60.0,20.545454545454547,0.6532726287841797,7.069288649822942e-10,-0.35858582813701684,4.161816934528297,0.0,-20.545454545454547,-0.872427134308964,-0.5269585764617659
6.5,119.1617,26.067207,0.57,242.0,0.98,0.0,242.66,60.0,22.0,0.6527273654937744,0.2431233630350519,-0.3839724354387525,4.223696789826278,0.0,-22.0,-1.0912722004577518,-0.633658207138069
7.0,119.1616995,26.067206499999998,0.54,243.5,0.9575,0.0933333333333333,244.78416666666666,60.0,21.5,0.3825000524520874,0.0746430623731798,-0.3752457891787808,4.249876728606193,0.0,-21.5,-1.1452451813966036,-0.6853731366572902
8.0,119.161699,26.067206,0.5099999999999999,245.0,0.9683333333333332,-0.0044444444444444,249.28555555555556,60.0,21.0,1.039555549621582,0.0,-0.3665191429188092,4.276056667386108,0.0,-21.0,-1.1992181637324393,-0.7370880718226545
9.0,119.161693,26.0672,0.67,252.0,1.02,-0.36,253.11,60.0,21.0,1.0364444255828855,0.8957167606001384,-0.3665191429188092,4.39822971502571,0.0,-21.0,-1.8468939340673387,-1.3576672949711792
10.5,119.161693,26.067200000000007,0.67,252.0,0.9709523809523812,-0.1771428571428571,257.62999999999994,60.0,21.0,1.2022380828857422,1.587655851357161e-09,-0.3665191429188092,4.39822971502571,0.0,-21.0,-1.8468939336016774,-1.3576672949711792
11.5,119.161689,26.067195,0.66,262.0,0.97,0.06,262.07,60.0,23.0,1.2037618160247805,0.6834101601475846,-0.4014257279586958,4.572762640225143,0.0,-23.0,-2.3895768700167537,-1.7746565842535347
12.5,119.161689,26.06719500000001,0.66,262.0,0.9393749999999998,-0.044375,265.726875,60.0,23.0,0.925562620162964,1.7731456628564967e-09,-0.4014257279586958,4.572762640225143,0.0,-23.0,-2.38957686861977,-1.774656584195327
13.5,119.161684,26.067192,0.63,268.0,0.97,-0.07,269.21,60.0,21.0,0.9324374198913574,0.6006425009987696,-0.3665191429188092,4.6774823953448035,0.0,-21.0,-2.707508446648717,-2.285266464576125
14.500000000000002,119.16168399999997,26.067191999999995,0.63,268.0,0.9557142857142856,-0.1957142857142857,272.54285714285714,60.0,21.0,0.8150713443756104,2.8657324898924354e-09,-0.3665191429188092,4.6774823953448035,0.0,-21.0,-2.7075084475800395,-2.2852664672536775
15.000000000000002,119.161677,26.067188,0.75,275.0,0.96,0.02,275.6,60.0,22.0,0.8179285526275635,0.828843947143061,-0.3839724354387525,4.799655442984406,0.0,-22.0,-3.130432804580778,-2.9994663771940395
15.500000000000002,119.1616765,26.067188,0.75,276.0,0.9533333333333334,-0.14,277.01166666666666,60.0,22.0,0.21900010108947748,0.0500303472132292,-0.3839724354387525,4.81710873550435,0.0,-22.0,-3.1289562275633216,-3.049546437745448
16.0,119.161676,26.067188,0.75,277.0,0.9316666666666668,-0.0933333333333333,278.8916666666667,60.0,22.0,0.3829998970031738,1.4651330838444672e-09,-0.3839724354387525,4.834562028024293,0.0,-22.0,-3.127479651942849,-3.099626493290998
16.5,119.161673,26.067186,0.77,279.0,0.95,-0.05,280.5,60.0,23.0,0.3789999485015869,0.3731033559143227,-0.4014257279586958,4.869468613064179,0.0,-23.0,-3.3404183932580054,-3.4066464148345403
17.5,119.16167300000002,26.067186,0.7699999999999998,279.0,0.9338095238095238,-0.0852380952380952,285.1961904761905,60.0,23.0,1.203333616256714,2.843896037872474e-09,-0.4014257279586958,4.869468613064179,0.0,-23.0,-3.3404183932580054,-3.406646412331611
18.5,119.161664,26.067183,0.89,289.0,0.95,-0.12,289.83,60.0,22.0,1.2046663761138916,0.9599226373619972,-0.3839724354387525,5.044001538263612,0.0,-22.0,-3.646537270862609,-4.3178968517459
20.0,119.16166400000004,26.067183,0.8900000000000002,289.0,0.9254545454545456,-0.1468181818181818,294.9104545454547,60.0,22.0,1.2515909671783447,2.8438961103210874e-09,-0.3839724354387525,5.044001538263612,0.0,-22.0,-3.646537270862609,-4.317896846565418
21.0,119.161653,26.067182,0.87,299.0,0.96,0.05,299.66,60.0,22.0,1.2574090957641602,1.1062294447845569,-0.3839724354387525,5.218534463463046,0.0,-22.0,-3.724951543379575,-5.42292797495611
21.5,119.161653,26.067182,0.87,299.0,0.8766666666666666,-0.17,301.37833333333333,60.0,22.0,0.3810000419616699,0.0,-0.3839724354387525,5.218534463463046,0.0,-22.0,-3.724951543379575,-5.42292797495611
22.0,119.161649,26.067182,0.83,302.0,0.89,-0.21,302.68,60.0,23.0,0.3819999694824219,0.4002427995202536,-0.4014257279586958,5.270894341022875,0.0,-23.0,-3.7131388536654413,-5.823568464373238
22.5,119.16164899999995,26.067182,0.83,302.0,0.9175,-0.1791666666666666,305.65416666666664,60.0,23.0,0.7104167938232422,2.843896134470623e-09,-0.4014257279586958,5.270894341022875,0.0,-23.0,-3.7131388536654413,-5.8235684694955125
23.5,119.161643,26.067182,0.85,308.0,0.91,-0.2,308.49,60.0,21.0,0.7065832614898682,0.6003641957255103,-0.3665191429188092,5.375614096142535,0.0,-21.0,-3.695419796742499,-6.4245291945990175
24.0,119.161643,26.067182,0.8499999999999998,308.0,0.9254545454545452,-0.1763636363636364,311.1472727272728,60.0,21.0,0.6587271690368652,0.0,-0.3665191429188092,5.375614096142535,0.0,-21.0,-3.695419796742499,-6.4245291945990175
24.5,119.161635,26.067183,0.92,313.0,0.96,-0.17,313.66,60.0,20.0,0.6542727947235107,0.808115952903861,-0.3490658503988659,5.462880558742252,0.0,-20.0,-3.560895237606019,-7.222540354472585
26.5,119.16163499999996,26.067183,0.9200000000000008,313.0,0.9185714285714284,-0.1564285714285714,320.2510714285715,60.0,20.0,1.583892583847046,4.265844165481631e-09,-0.3490658503988659,5.462880558742252,0.0,-20.0,-3.560895237606019,-7.222540356975514
28.0,119.161622,26.067187,0.88,326.0,0.8666666666666667,-0.49833333333333335,327.29333333333335,60.0,23.0,0.9018869400024414,0.6871025224931996,-0.4014257279586958,5.689773361501515,0.0,-23.0,-3.0789073440246284,-8.511542618216481
28.5,119.16162,26.067188,0.81,328.0,0.83,-0.82,328.55,60.0,21.0,0.2173335552215576,0.228741729600777,-0.3665191429188092,5.724679946541401,0.0,-21.0,-2.9621018450707197,-8.708593020390254
29.500000000000004,119.16162000000004,26.06718799999999,0.8100000000000004,328.0,0.9305555555555556,-0.2533333333333333,332.84444444444443,60.0,21.0,1.0364995002746582,3.175311961914084e-09,-0.3665191429188092,5.724679946541401,0.0,-21.0,-2.9621018464677036,-8.708593017829116
30.500000000000004,119.161614,26.067192,0.88,336.0,0.93,-0.09,337.27,60.0,24.0,1.0365004539489746,0.7462067052242026,-0.4188790204786391,5.8643062867009474,0.0,-24.0,-2.500786220189184,-9.296474377217237
