time,lon,lat,speed,heading,xcourse,ycourse,zcourse,rudder_command,rudder,delta,psi,thrust,-rudder,x0,y0
0.0,119.16201181414424,26.06662518585573,1.1798648070635516,-29.85934171237294,0.8983738767639914,-0.23875282340511594,332.03730371351685,70.0,30.47998974180618,-0.5319761769686142,-0.5211438253589896,0.0,-30.47998974180618,0.0,0.0
0.5,119.16200876246259,26.066627590029874,1.1890610392065741,-27.852609674146105,0.7988354588700811,-0.16407196289163237,334.35103709422117,70.0,30.71128334045929,-0.5360130118038973,-0.48611974408667447,0.0,-30.71128334045929,0.2756318375468254,-0.2977978917188011
1.0,119.162005530218,26.066629869782002,1.2185342617321537,-22.705546911324525,0.7796759297703816,-0.4371950187260394,337.77598481491367,70.0,31.296634561149187,-0.546229317885504,-0.39628655206864194,0.0,-31.296634561149187,0.5379985724575818,-0.6140878480509855
1.5,119.16200471076002,26.06663023139202,1.2335506856506058,-19.74694310008575,0.7669832213493996,-0.4263020445769329,341.13389631679615,70.0,31.219532359419702,-0.5448836306047875,-0.34464917430047254,0.0,-31.219532359419702,0.5805205279029906,-0.6949829629156739
2.0,119.16200141659752,26.066632866722017,1.238995499641221,-18.213120940967073,0.790476448384365,-0.3315544443339898,344.5518841967339,70.0,30.97489584907214,-0.5406139180286335,-0.31787892748380325,0.0,-30.97489584907214,0.882503364700824,-1.0163120941724628
2.5,119.1619996591839,26.066634340816126,1.247799441877375,-15.537856658527854,0.7883979988401195,-0.4968681766400852,348.258745485009,70.0,30.74198799681661,-0.5365489091530259,-0.27118675739423537,0.0,-30.74198799681661,1.0511684245429933,-1.1875161688658409
3.0,119.16199820871148,26.066635395644248,1.2587274446579433,-11.525399874762375,0.7775002417697722,-0.5833046162614406,351.79611856292036,70.0,30.5688351267464,-0.5335268214610227,-0.20115617542354552,0.0,-30.5688351267464,1.1724309250712395,-1.3293476063408889
3.5,119.16199762383994,26.066635376160093,1.2637336447973215,-8.451906617417922,0.7352982269953086,-0.42582555567825875,355.45055558706434,70.0,30.407994882247955,-0.5307196296248122,-0.14751359854503948,0.0,-30.407994882247955,1.1719971941784024,-1.3879923713975586
4.0,119.16199233658958,26.06664126341039,1.261544794163819,-7.918321267641744,0.7497977563761272,-0.5295962161330829,266.36907730712585,70.0,30.5900045784016,-0.5338962980932478,-0.13820077735103958,0.0,-30.5900045784016,1.8405003151856363,-1.8983182822121307
4.5,119.1619893151601,26.066644684839936,1.2618996410600771,-4.15262046067331,0.7014014956739871,-0.6032928330872556,11.781933805849675,70.0,30.989964106007715,-0.5408769087246956,-0.07247689962443296,0.0,-30.989964106007715,2.2288555558770895,-2.189760149049107
