J,Kt,Kq
0.245,0.5225,0.08777
0.341,0.4745,0.08091
0.436,0.4257,0.07402
0.532,0.3767,0.06714
0.627,0.328,0.06024
0.723,0.2794,0.05325
0.818,0.2307,0.04609
0.914,0.1812,0.0386
1.009,0.1301,0.03062
1.104,0.0761,0.02193
